sample,ch0,ch1,ch2,ch3,ch0_v,ch1_v,ch2_v,ch3_v
0,-606230,-636435,-579505,-607196,-0.173443794,-0.182085514,-0.165797710,-0.173720169
1,-605626,-634568,-581436,-607450,-0.173270988,-0.181551361,-0.166350174,-0.173792839
2,-605986,-618420,-596820,-607323,-0.173373985,-0.176931381,-0.170751572,-0.173756504
3,-606326,-597669,-616903,-607461,-0.173471260,-0.170994473,-0.176497364,-0.173795986
4,-605997,-602581,-612225,-607387,-0.173377132,-0.172399807,-0.175158978,-0.173774815
5,-605923,-623587,-592056,-607334,-0.173355961,-0.178409672,-0.169388580,-0.173759651
6,-606368,-636764,-579155,-607323,-0.173483276,-0.182179642,-0.165697575,-0.173756504
7,-605933,-634695,-581394,-607365,-0.173358822,-0.181587696,-0.166338158,-0.173768520
8,-606071,-584142,-629815,-607546,-0.173398304,-0.167124367,-0.180191517,-0.173820305
9,-606167,-586210,-627990,-607610,-0.173425770,-0.167716026,-0.179669380,-0.173838615
10,-606283,-602740,-612246,-607535,-0.173458958,-0.172445297,-0.175164986,-0.173817158
11,-605944,-623460,-591929,-607641,-0.173361969,-0.178373337,-0.169352245,-0.173847485
12,-605912,-618378,-596852,-607344,-0.173352814,-0.176919365,-0.170760727,-0.173762512
13,-606029,-597541,-617126,-607238,-0.173386288,-0.170957851,-0.176561165,-0.173732185
14,-606294,-584120,-629762,-607663,-0.173462105,-0.167118073,-0.180176353,-0.173853779
15,-606050,-586242,-628022,-607493,-0.173392296,-0.167725182,-0.179678535,-0.173805141
16,-605965,-636616,-579378,-607493,-0.173367977,-0.182137299,-0.165761375,-0.173805141
17,-605912,-634600,-581256,-607535,-0.173352814,-0.181560516,-0.166298676,-0.173817158
18,-605742,-618251,-597011,-607482,-0.173304176,-0.176883030,-0.170806217,-0.173801994
19,-605986,-597170,-617116,-607429,-0.173373985,-0.170851707,-0.176558304,-0.173786831
20,-605880,-602379,-612256,-607164,-0.173343658,-0.172342014,-0.175167847,-0.173711014
21,-605870,-623619,-592130,-607610,-0.173340797,-0.178418827,-0.169409752,-0.173838615
22,-606018,-636446,-579208,-607344,-0.173383141,-0.182088661,-0.165712738,-0.173762512
23,-606177,-634313,-581256,-607217,-0.173428631,-0.181478405,-0.166298676,-0.173726177
24,-606071,-584152,-629815,-607493,-0.173398304,-0.167127228,-0.180191517,-0.173805141
25,-605944,-586115,-628054,-607228,-0.173361969,-0.167688847,-0.179687691,-0.173729324
26,-606050,-602740,-612384,-607440,-0.173392296,-0.172445297,-0.175204468,-0.173789978
27,-605795,-623343,-592088,-607153,-0.173319340,-0.178339863,-0.169397736,-0.173707867
28,-606029,-618293,-596936,-607429,-0.173386288,-0.176895046,-0.170784760,-0.173786831
29,-605954,-597340,-617084,-607408,-0.173364830,-0.170900345,-0.176549149,-0.173780823
30,-606114,-583876,-629910,-607270,-0.173410606,-0.167048264,-0.180218697,-0.173741341
31,-605976,-586338,-627842,-607291,-0.173371124,-0.167752647,-0.179627037,-0.173747349
32,-606007,-636541,-579261,-607270,-0.173379993,-0.182115841,-0.165727901,-0.173741341
33,-605976,-634462,-581404,-607334,-0.173371124,-0.181521034,-0.166341019,-0.173759651
34,-606018,-618123,-596788,-607259,-0.173383141,-0.176846409,-0.170742416,-0.173738194
35,-606315,-597308,-617275,-607419,-0.173468113,-0.170891190,-0.176603794,-0.173783970
36,-606092,-602570,-612522,-607281,-0.173404312,-0.172396660,-0.175243950,-0.173744488
37,-606039,-623343,-592088,-607493,-0.173389149,-0.178339863,-0.169397736,-0.173805141
38,-606082,-636658,-579601,-607323,-0.173401451,-0.182149315,-0.165825176,-0.173756504
39,-605859,-634547,-581351,-607440,-0.173337650,-0.181545353,-0.166325855,-0.173789978
40,-605976,-584152,-629815,-607026,-0.173371124,-0.167127228,-0.180191517,-0.173671532
41,-605901,-586115,-627873,-607217,-0.173349667,-0.167688847,-0.179635906,-0.173726177
42,-606262,-602623,-612193,-607419,-0.173452950,-0.172411823,-0.175149822,-0.173783970
43,-605997,-623216,-592003,-607281,-0.173377132,-0.178303528,-0.169373417,-0.173744488
44,-605679,-618378,-596873,-607461,-0.173286152,-0.176919365,-0.170766735,-0.173795986
45,-605954,-597223,-616914,-607493,-0.173364830,-0.170866871,-0.176500511,-0.173805141
46,-605933,-583961,-629826,-607344,-0.173358822,-0.167072582,-0.180194664,-0.173762512
47,-606082,-586168,-628054,-607493,-0.173401451,-0.167704010,-0.179687691,-0.173805141
48,-605870,-636584,-579123,-607450,-0.173340797,-0.182128143,-0.165688419,-0.173792839
49,-605848,-634335,-581203,-607185,-0.173334503,-0.181484699,-0.166283512,-0.173717022
50,-606103,-618081,-596947,-607429,-0.173407459,-0.176834393,-0.170787907,-0.173786831
51,-605944,-597021,-616840,-607206,-0.173361969,-0.170809078,-0.176479340,-0.173723030
52,-605817,-602368,-612288,-607175,-0.173325634,-0.172338867,-0.175177002,-0.173714161
53,-606209,-623173,-592067,-607588,-0.173437786,-0.178291225,-0.169391727,-0.173832321
54,-605604,-636265,-579219,-607228,-0.173264694,-0.182036877,-0.165715885,-0.173729324
55,-605912,-634377,-581203,-607365,-0.173352814,-0.181496716,-0.166283512,-0.173768520
56,-605997,-584014,-629963,-607334,-0.173377132,-0.167087746,-0.180233860,-0.173759651
57,-605965,-586041,-627852,-607217,-0.173367977,-0.167667675,-0.179629898,-0.173726177
58,-606124,-602188,-612150,-607143,-0.173413467,-0.172287369,-0.175137520,-0.173705006
59,-606007,-622929,-592183,-607355,-0.173379993,-0.178221416,-0.169424915,-0.173765659
60,-605965,-618357,-596979,-607302,-0.173367977,-0.176913357,-0.170797062,-0.173750496
61,-606007,-597276,-616925,-607397,-0.173379993,-0.170882034,-0.176503658,-0.173777676
62,-606145,-584035,-629613,-607334,-0.173419476,-0.167093754,-0.180133724,-0.173759651
63,-606092,-585977,-627926,-607503,-0.173404312,-0.167649364,-0.179651070,-0.173808002
64,-605870,-636520,-579155,-607376,-0.173340797,-0.182109833,-0.165697575,-0.173771667
65,-606071,-634409,-581341,-607015,-0.173398304,-0.181505871,-0.166322994,-0.173668385
66,-605923,-617964,-596830,-607312,-0.173355961,-0.176800919,-0.170754433,-0.173753357
67,-606007,-597064,-616882,-607111,-0.173379993,-0.170821381,-0.176491356,-0.173695850
68,-605880,-602082,-612267,-607238,-0.173343658,-0.172257042,-0.175170994,-0.173732185
69,-605997,-623025,-591950,-607323,-0.173377132,-0.178248882,-0.169358253,-0.173756504
70,-605976,-636467,-579282,-607217,-0.173371124,-0.182094669,-0.165733910,-0.173726177
71,-605848,-634165,-581298,-607037,-0.173334503,-0.181436062,-0.166310692,-0.173674679
72,-605859,-584099,-629953,-607196,-0.173337650,-0.167112064,-0.180230999,-0.173720169
73,-605933,-585627,-627937,-607429,-0.173358822,-0.167549229,-0.179654217,-0.173786831
74,-605923,-602156,-612076,-607610,-0.173355961,-0.172278214,-0.175116348,-0.173838615
75,-605944,-623258,-592215,-607058,-0.173361969,-0.178315544,-0.169434071,-0.173680687
76,-605954,-618081,-596682,-607111,-0.173364830,-0.176834393,-0.170712090,-0.173695850
77,-605710,-597191,-616978,-607472,-0.173295021,-0.170857716,-0.176518822,-0.173799133
78,-605912,-584099,-629804,-607365,-0.173352814,-0.167112064,-0.180188370,-0.173768520
79,-606209,-586232,-627884,-607334,-0.173437786,-0.167722321,-0.179639053,-0.173759651
80,-606018,-636414,-579134,-607291,-0.173383141,-0.182079506,-0.165691566,-0.173747349
81,-605891,-634557,-581319,-607493,-0.173346806,-0.181548214,-0.166316700,-0.173805141
82,-605997,-618039,-597032,-607397,-0.173377132,-0.176822376,-0.170812225,-0.173777676
83,-605795,-597106,-616776,-607259,-0.173319340,-0.170833397,-0.176461029,-0.173738194
84,-606061,-602284,-612246,-607355,-0.173395443,-0.172314835,-0.175164986,-0.173765659
85,-605912,-623280,-592120,-607249,-0.173352814,-0.178321838,-0.169406891,-0.173735332
86,-606082,-636425,-579548,-607259,-0.173401451,-0.182082653,-0.165810013,-0.173738194
87,-605954,-634409,-581203,-607408,-0.173364830,-0.181505871,-0.166283512,-0.173780823
88,-606135,-584057,-629910,-607068,-0.173416615,-0.167100048,-0.180218697,-0.173683548
89,-605986,-586072,-627958,-607143,-0.173373985,-0.167676544,-0.179660225,-0.173705006
90,-605774,-602326,-612034,-607206,-0.173313332,-0.172326851,-0.175104332,-0.173723030
91,-606092,-623364,-592258,-607217,-0.173404312,-0.178345871,-0.169446373,-0.173726177
92,-605838,-618261,-596915,-607376,-0.173331642,-0.176885891,-0.170778751,-0.173771667
93,-605710,-597488,-616712,-607312,-0.173295021,-0.170942688,-0.176442719,-0.173753357
94,-605838,-584004,-629635,-607641,-0.173331642,-0.167084885,-0.180140018,-0.173847485
95,-606188,-586041,-627629,-607132,-0.173431778,-0.167667675,-0.179566097,-0.173701859
96,-605721,-636711,-579198,-607291,-0.173298168,-0.182164478,-0.165709877,-0.173747349
97,-606018,-634292,-581330,-607387,-0.173383141,-0.181472397,-0.166319847,-0.173774815
98,-605668,-618017,-596756,-607365,-0.173283005,-0.176816082,-0.170733261,-0.173768520
99,-605891,-597552,-617084,-607365,-0.173346806,-0.170960999,-0.176549149,-0.173768520
100,-606050,-602443,-612193,-607058,-0.173392296,-0.172360325,-0.175149822,-0.173680687
101,-606082,-623311,-592205,-607546,-0.173401451,-0.178330708,-0.169431210,-0.173820305
102,-605901,-636658,-579261,-607312,-0.173349667,-0.182149315,-0.165727901,-0.173753357
103,-606103,-634388,-581182,-607610,-0.173407459,-0.181499863,-0.166277504,-0.173838615
104,-605880,-584248,-629645,-607397,-0.173343658,-0.167154694,-0.180142879,-0.173777676
105,-605827,-586189,-627873,-607228,-0.173328495,-0.167710018,-0.179635906,-0.173729324
106,-605933,-602496,-612309,-607206,-0.173358822,-0.172375488,-0.175183010,-0.173723030
107,-605986,-623386,-592067,-607376,-0.173373985,-0.178352165,-0.169391727,-0.173771667
108,-605806,-618176,-596788,-607238,-0.173322487,-0.176861572,-0.170742416,-0.173732185
109,-606007,-597340,-617222,-607196,-0.173379993,-0.170900345,-0.176588631,-0.173720169
